desc	IAPS	valmn	valsd	aromn	arosd	dom1mn	dom1sd	dom2mn	dom2sd	set
Flower	5000	7.08	1.77	2.67	1.99	7.08	1.99			1
Sunflower	5001	7.16	1.56	3.79	2.34	6.49	2.12	6.36	2.12	7
Flower	5010	7.14	1.50	3.00	2.25	7.4	2.25			1
Flower	5020	6.32	1.68	2.63	2.10	6.67	2.1			1
Flower	5030	6.51	1.73	2.74	2.13	7.03	2.13			1
PineNeedles	5120	4.39	1.34	3.07	2.12	5.69	2.07			9
Rocks	5130	4.45	1.13	2.51	1.72	5.84	1.98			10
Flowers	5200	7.36	1.52	3.20	2.16	6.21	1.88			3
Nature	5201	7.06	1.71	3.83	2.49	6.73	2.04	6.34	1.94	7
Nature	5220	7.01	1.50	3.91	2.27	5.53	2.01			3
Nature	5250	6.08	2.01	3.64	2.27	5.5	2.46			4
Waterfall	5260	7.34	1.74	5.71	2.53	4.54	2.56			6
Nature	5270	7.26	1.57	5.49	2.54	4.28	2.56			5
Galaxy	5300	6.91	1.80	4.36	2.62	4.14	2.7			4
Boat	5390	5.59	1.54	2.88	1.97	6.33	2.02			10
Boat	5395	5.34	1.21	4.23	2.03	5.23	2.01			12
Violinist	5410	6.11	1.58	3.29	2.09	6.28	1.72			10
Liftoff	5450	7.01	1.60	5.84	2.40	4.98	2.69			5
Cockpit	5455	5.79	1.37	4.56	2.17	5.63	2.11			11
Astronaut	5460	7.33	1.51	5.87	2.50	4.99	2.59			5
Astronaut	5470	7.35	1.62	6.02	2.26	4.96	2.47			6
Fireworks	5480	7.53	1.63	5.48	2.35	5.8	1.97			6
Mushroom	5500	5.42	1.58	3.00	2.42	6.45	2.42			1
Mushroom	5510	5.15	1.43	2.82	2.18	6.68	2.18			1
Mushroom	5520	5.33	1.49	2.95	2.42	6.43	2.42			1
Mushroom	5530	5.38	1.60	2.87	2.29	6.42	2.29			1
Mushroom	5531	5.15	1.45	3.69	2.11	6	1.95	5.96	1.99	7
Mushrooms	5532	5.19	1.69	3.79	2.20	6.01	2.14	5.81	2.19	7
Mushrooms	5533	5.31	1.17	3.12	1.92	6.09	1.79			8
Mushrooms	5534	4.84	1.44	3.14	2.03	5.83	1.93			8
Stilllife	5535	4.81	1.52	4.11	2.31	5.61	2.25			12
Clouds	5551	7.31	1.63	3.26	2.47			6.48	2.21	13
Sky	5593	6.47	1.57	3.98	2.31	5.89	2.38			10
Sky	5594	7.39	1.45	4.15	2.76	6.54	2.46			9
Mountains	5600	7.57	1.48	5.19	2.70	4.93	2.27			2
Mountains	5611	7.05	1.58	3.99	2.56			6.04	2.28	13
SkyDivers	5621	7.57	1.42	6.99	1.95	5.81	2.38	5.5	2.34	7
Shark	5622	6.33	1.78	5.34	1.96	5.94	2.07			8
Windsurfers	5623	7.19	1.44	5.67	2.32	6.45	1.72			8
HangGlider	5626	6.71	2.06	6.10	2.19	6	2.24			8
Mountains	5628	6.51	1.95	5.46	2.09	6.28	2.33			8
Hiker	5629	7.03	1.55	6.55	2.11	5.68	2.55	5.76	2.18	7
Mountains	5660	7.27	1.59	5.07	2.62	5.03	2.46			6
Cave	5661	5.96	1.41	4.15	2.30			5.45	2.02	14
Mountains	5700	7.61	1.46	5.68	2.33	4.59	2.68			5
Field	5711	6.62	1.65	3.03	1.96			6.35	1.97	13
Farmland	5720	6.31	1.60	2.79	2.20	5.58	2.15			5
Flowers	5731	5.39	1.58	2.74	1.95	6.13	1.77			8
Plant	5740	5.21	1.38	2.59	1.99	6.27	2.21			10
Nature	5750	6.60	1.84	3.14	2.25	6.82	2.25			1
Nature	5760	8.05	1.23	3.22	2.39	7.49	2.39			1
Courtyard	5779	7.33	1.42	3.57	2.30	6.96	1.77			11
Nature	5780	7.52	1.45	3.75	2.54	6.05	2.3			5
Leaves	5800	6.36	1.70	2.51	2.01	5.72	2.03			6
Flowers	5811	7.23	1.60	3.30	2.33			6.58	2.23	13
Mountains	5820	7.33	1.73	4.61	2.59	5.69	2.17			2
Sunset	5830	8.00	1.48	4.92	2.65	6.07	1.91			2
Seagulls	5831	7.63	1.15	4.43	2.49	6.46	2.12			9
Flowers	5849	6.65	1.93	4.89	2.43	5.9	2			12
Clouds	5870	6.78	1.76	3.10	2.22	5.2	2.13			3
Bicyclist	5875	6.03	1.43	3.29	2.12	6.19	1.91			12
Earth	5890	6.67	1.75	4.60	2.30	4.15	2.78			3
Clouds	5891	7.22	1.46	3.29	2.57	5.2	2.57			5
Desert	5900	5.93	1.64	4.38	2.10	5.16	2.06			3
Fireworks	5910	7.80	1.23	5.59	2.55	5.56	2.37			5
Volcano	5920	5.16	1.92	6.23	2.08	3.95	2.31			3
Lava	5940	4.23	1.68	6.29	1.85	3.7	2.17			3
Lightning	5950	5.99	2.07	6.79	1.98	3.56	2.44			3
Tornado	5970	4.14	1.77	4.88	2.59	3.73	2.34			4
Tornado	5971	3.49	1.87	6.65	2.02	3.3	2.42			11
Tornado	5972	3.85	2.33	6.34	2.20	3.49	2.42			12
Sky	5982	7.61	1.48	4.51	2.85	5	2.74			6
Sky	5990	6.54	1.78	4.44	2.43	4.7	2.27			5
Sky	5991	6.55	2.09	4.01	2.44	4.78	2.17			6
Skyline	5994	6.80	1.75	4.61	2.31	6.56	2.2			9
Prison	6000	4.04	1.74	4.91	2.17	3.77	2.22			3
Jail	6010	3.73	1.98	3.95	1.87	5.08	2.53			4
ElectricChair	6020	3.41	1.98	5.58	2.01	4.07	2.43			4
Outlet	6150	5.08	1.17	3.22	2.02	5.54	1.69			3
Aimedgun	6190	3.57	1.84	5.64	2.03	3.77	2.42			4
AimedGun	6200	2.71	1.58	6.21	2.28	3.35	2.28			1
AimedGun	6200	3.20	1.62	5.82	1.99	3.49	2.19			2
AimedGun	6210	2.95	1.83	6.34	2.14	3.46	2.14			1
Attack	6211	3.62	2.07	5.90	2.22	4.03	2.22			8
Soldier	6212	2.19	1.49	6.01	2.44	3.45	2.1			8
Terrorist	6213	2.91	1.52	5.86	2.06	3.62	2.36			11
AimedGun	6230	2.37	1.57	7.35	2.01	2.15	2.09			2
Gun	6241	3.42	1.52	4.54	2.35	4.44	2.53			9
Gang	6242	2.69	1.59	5.43	2.36	3.49	2.19			9
AimedGun	6243	2.33	1.49	5.99	2.23	3.23	2.26			10
AimedGun	6244	3.09	1.78	5.68	2.51	3.43	2.3			9
AimedGun	6250	2.83	1.79	6.54	2.61	2.4	1.88			5
AimedGun	6260	2.44	1.54	6.93	1.93	2.87	2.16			6
Knife	6300	2.59	1.66	6.61	1.97	2.78	1.99			5
DistressedFem	6311	2.58	1.56	4.95	2.27			4.74	2.36	13
Abduction	6312	2.48	1.52	6.37	2.30	3.83	2.25			8
Attack	6313	1.98	1.38	6.94	2.23	3.26	2.74	2.98	2.17	7
Attack	6314	4.09	1.51	4.60	2.31	4.58	2.4			10
BeatenFem	6315	2.31	1.69	6.38	2.39			3.79	2.69	13
Attack	6350	1.90	1.29	7.29	1.87	2.73	2.16			5
Attack	6360	2.23	1.73	6.33	2.51	3.97	2.33			5
Attack	6370	2.70	1.52	6.44	2.19	3	1.87			5
AimedGun	6410	3.49	2.07	5.89	2.28	4.29	2.28			1
DeadTiger	6415	2.21	1.51	6.20	2.31			3.79	2.47	13
Attack	6510	2.46	1.58	6.96	2.09	2.81	2.12			6
Attack	6530	2.76	1.86	6.18	2.02	4.01	2.29			6
Attack	6540	2.19	1.56	6.83	2.14	3.02	2.17			6
Attack	6550	2.73	2.38	7.09	1.98	3.01	2.41			6
Knife	6555	3.33	1.59	5.69	2.21			4.17	2.17	13
Attack	6560	2.16	1.41	6.53	2.42	3.11	2.41			5
Attack	6561	3.16	1.46	4.99	2.19	4.58	2.23			10
Suicide	6570	2.19	1.72	6.24	2.16	4.03	2.52			6
CarTheft	6571	2.85	2.05	5.59	2.50	3.56	2.38			9
Gun	6610	3.60	1.79	5.06	2.39	4.97	2.39			1
Gun	6800	4.01	2.06	4.87	2.57	4.81	2.57			1
Gang	6821	2.38	1.72	6.29	2.02	3.29	2.36			10
Guns	6830	2.82	1.81	6.21	2.23	3.67	2.5	2.92	1.86	7
Police	6831	2.59	1.50	5.55	2.16	3.99	1.93			8
Police	6834	2.91	1.73	6.28	1.90	3.9	2.28			12
Police	6836	3.46	1.61	5.47	1.91	4.39	2.24			11
Police	6838	2.45	1.44	5.80	2.09	3.79	2.08			11
Police	6840	3.63	2.04	5.95	1.90	4.72	2.21			12
Aircraft	6900	4.76	2.06	5.64	2.22	4.27	2.66			2
Bomber	6910	5.31	2.28	5.62	2.46	5.1	2.46			1
Missiles	6930	4.39	1.82	4.88	2.20	4	2.39			2
Tank	6940	3.53	2.07	5.35	2.02	4.05	2.63			4
RollingPin	7000	5.00	0.84	2.42	1.79	6.14	2.14			2
Towel	7002	4.97	0.97	3.16	2.00	6.25	1.93	6.48	1.94	7
Spoon	7004	5.04	0.60	2.00	1.66	6.74	1.99			9
Bowl	7006	4.88	0.99	2.33	1.67	6.18	1.96			8
Mug	7009	4.93	1.00	3.01	1.97	6.33	1.93	6.23	2.03	7
Basket	7010	4.94	1.07	1.76	1.48	6.7	1.48			1
Fan	7020	4.97	1.04	2.17	1.71	6.16	2.15			9
Stool	7025	4.63	1.17	2.71	2.20	6.1	2.2			8
Iron	7030	4.69	1.04	2.99	2.09	5.73	2			6
Shoes	7031	4.52	1.11	2.03	1.51	6.14	2.12			10
Hammer	7034	4.95	0.87	3.06	1.95	6.48	1.86			8
Mug	7035	4.98	0.96	2.66	1.82	6.39	1.94			8
Shipyard	7036	4.88	1.08	3.32	2.04			5.41	2.11	14
Trains	7037	4.81	1.12	3.71	2.08			5.24	2.1	14
Shoes	7038	4.82	1.20	3.01	1.96			5.67	2	13
Train	7039	5.93	1.58	3.29	2.15			5.94	1.93	13
DustPan	7040	4.69	1.09	2.69	1.93	5.46	1.64			5
Baskets	7041	4.99	1.12	2.60	1.78			6.35	2.14	14
HairDryer	7050	4.93	0.81	2.75	1.80	5.82	1.93			2
TrashCan	7060	4.43	1.16	2.55	1.77	5.85	2.1			2
Fork	7080	5.27	1.09	2.32	1.84	7.04	1.84			1
Book	7090	5.19	1.46	2.61	2.03	6.65	2.03			1
Headlight	7095	5.99	1.40	4.21	2.20	6.17	1.95			12
Car	7096	5.54	1.26	3.98	1.87	5.81	1.78			11
FireHydrant	7100	5.24	1.20	2.89	1.70	5.92	1.73			3
Hammer	7110	4.55	0.93	2.27	1.70	6.07	1.86			10
Truck	7130	4.77	1.03	3.35	1.90	5.08	1.82			3
Bus	7140	5.50	1.42	2.92	2.38	5.45	1.78			6
Umbrella	7150	4.72	1.00	2.61	1.76	5.55	2.01			2
Fabric	7160	5.02	1.10	3.07	2.07	5.8	1.97			9
Pole	7161	4.98	1.02	2.98	1.99			5.68	2.13	13
LightBulb	7170	5.14	1.28	3.21	2.05	5.89	1.98			2
Lamp	7175	4.87	1.00	1.72	1.26	6.47	2.04			10
Rug	7179	5.06	1.05	2.88	1.97			6.1	2.07	14
NeonBuilding	7180	4.73	1.31	3.43	1.95	5.61	1.98			10
Checkerboard	7182	5.16	1.31	4.02	2.12	5.51	2.1			9
Checkerboard	7183	5.58	1.39	3.78	2.19	5.71	2.16			10
AbstractArt	7184	4.84	1.02	3.66	1.89	5.46	1.8			11
AbstractArt	7185	4.97	0.87	2.64	2.04	6.13	2.02			10
AbstractArt	7186	4.63	1.60	3.60	2.36	5.88	2.5			12
AbstractArt	7187	5.07	1.02	2.30	1.75	6.1	2.04			10
Clock	7190	5.55	1.34	3.84	2.06	5.3	2.04			3
Teeth	7195	6.02	1.65	4.54	2.03	5.78	2			12
Brownie	7200	7.63	1.74	4.87	2.59	6.9	2.59			1
Scarves	7205	5.56	1.39	2.93	2.16	6.39	1.95			10
Beads	7207	5.15	1.46	3.57	2.25	6	2			8
Clock	7211	4.81	1.78	4.20	2.40	4.99	2.32			12
ClothesRack	7217	4.82	0.99	2.43	1.64	6.25	1.86			8
Pastry	7220	6.91	1.74	5.30	2.35	5.8	2.24			11
FileCabinets	7224	4.45	1.36	2.81	1.94	6.26	2.23	6.08	2.17	7
Turkey	7230	7.38	1.65	5.52	2.32	6.21	1.97			2
Plate	7233	5.09	1.46	2.77	1.92	6.23	2.06	6.42	2.01	7
IroningBoard	7234	4.23	1.58	2.96	1.90	5.73	2.18	5.26	2.16	7
Chair	7235	4.96	1.18	2.83	2.00	6.53	2.09	6.25	2.04	7
Lightbulb	7236	5.64	1.31	3.79	2.24			6.34	1.96	14
AbstractArt	7237	5.43	1.36	3.88	2.18	5.84	1.79			9
AbstractArt	7238	6.43	1.42	4.17	2.38	6.06	1.99			9
Cake	7250	6.62	1.56	4.67	2.15			6.24	1.89	14
Torte	7260	7.21	1.66	5.11	2.19	6.03	2.3			2
IceCream	7270	7.53	1.73	5.76	2.21	5.88	2.4			2
Wines	7280	7.20	1.80	4.46	2.38	6.1	2.08			2
Food	7281	6.40	1.52	4.41	2.26	6.46	1.71			8
Cake	7282	6.72	1.48	4.77	2.08	6.16	1.79			8
Fruit	7283	5.50	1.84	3.81	2.01	6.05	1.99			8
Fruit	7284	6.21	1.66	4.06	2.20	6.45	2.23	6.44	1.92	7
Tomatoes	7285	5.67	1.60	3.83	2.11	6.29	2.27	6.44	1.97	7
Pancakes	7286	6.36	1.72	4.44	2.44	5.97	2.52	6.27	2.18	7
Food	7289	6.32	2.00	5.14	2.51	6.02	2.2			11
Chicken	7291	6.35	1.91	4.81	2.38			6.1	2.18	13
Desserts	7320	6.54	1.63	4.44	2.12	6.22	1.95			3
Watermelon	7325	7.06	1.65	3.55	2.07	6.56	1.93			9
IceCream	7330	7.69	1.84	5.14	2.58	6.58	2.51			4
IceCream	7340	6.68	1.63	3.69	2.58	6.32	2.33			4
Pizza	7350	7.10	1.98	4.97	2.44	6.72	2.12			4
Pizza	7351	5.82	1.67	4.25	2.28	6	1.67			5
Pizza	7352	6.20	2.20	4.58	2.45	5.58	2.07			6
PieW/bug	7359	2.92	1.70	5.36	2.19			4.73	2.38	14
FliesOnPie	7360	3.59	1.95	5.11	2.25	5.21	2.26			4
MeatSlicer	7361	3.10	1.73	5.09	2.48	4.38	2.09			8
RoachOnPizza	7380	2.46	1.42	5.88	2.44	4.49	2.18			6
IceCream	7390	6.84	1.73	4.56	2.28	6.02	2.03			6
Candy	7400	7.00	1.64	5.06	2.23	6.07	2.01			5
Pastry	7402	5.98	2.04	5.05	2.12	5.75	2.37			12
Candy	7410	6.91	1.56	4.55	2.24	5.92	2.1			5
Candy	7430	7.11	1.78	4.72	2.29	5.86	2.02			6
Cheeseburger	7450	6.40	2.01	5.05	2.22	5.81	2.2			5
FrenchFries	7460	6.81	2.08	5.12	2.49	5.78	2.26			6
Pancakes	7470	7.08	1.60	4.64	2.26	5.96	1.95			5
Grapes	7472	6.25	1.84	4.00	2.37			6.31	2.12	14
Shrimp	7475	6.33	1.66	4.17	2.49	6.34	1.98			10
Pasta	7480	7.08	1.62	4.55	2.42	5.88	1.87			6
Food	7481	6.53	1.78	4.92	2.13	5.97	2.21			12
Window	7490	5.52	1.41	2.42	2.23	5.81	2.1			4
Building	7491	4.82	1.03	2.39	1.90	5.93	1.96			9
Man	7493	5.35	1.34	3.39	2.08			5.75	1.92	13
Store	7495	5.90	1.60	3.82	2.33	6.04	2.11			12
Street	7496	5.92	1.66	4.84	1.99	5.55	1.72			12
Building	7500	5.33	1.44	3.26	2.18	5.17	2.05			2
City	7501	6.85	1.70	5.63	2.27	5.82	2.07			6
Castle	7502	7.75	1.40	5.91	2.31	6.64	2.19	6.58	2.08	7
CardDealer	7503	5.77	1.39	4.21	2.39	5.59	1.92			10
Stairs	7504	5.67	1.46	4.25	2.27			5.8	2.09	14
Skyscraper	7510	6.05	1.60	4.52	2.35	4.96	2.18			2
Ocean	7545	6.84	1.72	3.28	2.34	6.75	1.93			11
Office	7550	5.27	1.40	3.95	1.91	5.22	2.26			3
Freeway	7560	4.47	1.65	5.24	2.03	4.63	2.09			3
Skyline	7570	6.97	1.69	5.54	2.34	5.33	2.25			3
Desert	7580	7.51	1.60	4.59	2.72	5.12	2.56			3
Traffic	7590	4.75	1.55	3.80	2.13	5.05	2.35			9
Traffic	7595	4.55	1.46	3.77	2.22	5.28	2.28			11
Dragon	7600	5.90	1.76	5.50	1.92	5.22	2.01			12
Jet	7620	5.78	1.72	4.92	2.11	5.07	1.99			3
Skyscraper	7640	5.00	1.31	6.03	2.46	3.82	2.27			6
Office	7700	4.25	1.45	2.95	2.17	5.13	2.45			4
Cabinet	7705	4.77	1.02	2.65	1.88	6.39	2.09			11
Bed	7710	5.42	1.58	3.44	2.21	5.96	2.09			4
Agate	7820	5.39	1.41	4.21	2.05	5.3	1.96			3
Agate	7830	5.26	1.38	4.08	2.11	5.36	1.81			3
Violin	7900	6.50	1.72	2.60	2.08	6.48	2.22			4
CarCrash	7920	4.51	1.40	3.87	2.15	5.2	1.78			8
Tissue	7950	4.94	1.21	2.28	1.81	6.3	2.11			9
Runner	8010	4.38	1.86	4.12	2.08	5.17	2.08			4
Skier	8021	6.79	1.44	5.67	2.37	5.85	2.06			10
Skier	8030	7.33	1.76	7.35	2.02	4.7	2.66			2
Skier	8031	6.76	1.39	5.58	2.24	6.36	1.66			8
IceSkater	8032	6.38	1.57	4.19	2.08	6.1	1.64			8
IceSkater	8033	6.66	1.52	5.01	2.15	6.12	1.91	5.74	1.77	7
Skier	8034	7.06	1.53	6.30	2.16	6.26	2.02	5.81	2.12	7
Diver	8040	6.64	1.56	5.61	2.01	5.31	2.32			4
Diver	8041	6.65	1.67	5.49	2.29	6.05	1.99	5.54	2.13	7
Rower	8050	6.24	1.49	4.31	2.12	6.67	1.92			4
Boxer	8060	5.36	2.23	5.31	1.99	5.92	2.43			4
Sailing	8080	7.73	1.34	6.65	2.20	5.91	2.1			2
Gymnast	8090	7.02	1.33	5.71	2.10	5.25	2.01			2
Football	8116	6.82	1.77	5.97	2.29	6.06	1.7			11
Hockey	8117	6.02	1.68	5.30	2.44	6.07	2.21			9
Athlete	8120	7.09	1.36	4.85	2.13	6.23	1.61			2
PoleVaulter	8130	6.58	1.34	5.49	2.07	5.43	1.8			2
RockClimber	8160	5.07	1.97	6.97	1.62	4.05	2.24			3
HangGlider	8161	6.71	1.64	6.09	2.24	5.89	2.15	5.68	2.18	7
HotAirBalloon	8162	6.97	1.55	4.98	2.25	6.37	1.89	5.69	1.86	7
Sailboat	8170	7.63	1.34	6.12	2.30	5.72	2.15			6
Cliffdiver	8178	6.50	2.00	6.82	2.33			4.68	2.61	13
Bungee	8179	6.48	2.18	6.99	2.35			4.73	2.68	13
CliffDivers	8180	7.12	1.88	6.59	2.12	4.97	2.52			4
Skydivers	8185	7.57	1.52	7.27	2.08	5.47	2.42			12
Skysurfer	8186	7.01	1.57	6.84	2.01			5.15	2.36	14
Skier	8190	8.10	1.39	6.28	2.57	6.14	2.74			5
IceClimber	8191	6.07	1.73	6.19	2.17			4.88	2.31	14
VolcanoSkier	8192	5.52	1.53	6.03	1.97			5.17	2	14
Skier	8193	6.73	1.58	6.04	2.19			5.82	2.08	13
WaterSkier	8200	7.54	1.37	6.35	1.98	6.17	1.61			3
Boat	8210	7.53	1.31	5.94	2.07	5.82	1.94			5
Sailboat	8211	5.76	1.89	5.36	2.35			5.13	2.29	13
Runners	8220	6.50	1.73	5.19	2.17	6.28	2.2			4
Boxer	8230	2.95	1.88	5.91	2.15	4.05	2.36			4
Boxer	8231	3.77	1.83	5.24	1.84	4.68	2.2			12
Boxer	8232	5.07	1.80	5.10	2.21	5.57	2.07			11
Motorcyclist	8250	6.19	1.62	5.04	2.49	5.63	2.07			5
Motorcycle	8251	6.16	1.68	6.05	2.12			5.87	2.24	14
Motorcyclist	8260	6.18	1.80	5.85	2.18	5.29	1.96			6
Diver	8280	6.38	1.46	5.05	2.18	5.85	1.95			6
Pilot	8300	7.02	1.60	6.14	2.21	5.31	2.31			5
Golfer	8311	5.88	1.67	3.57	2.35	5.8	1.74			6
CarRacer	8320	6.24	1.78	4.27	2.21	5.51	1.79			6
Winner	8330	6.65	1.39	4.06	2.28	5.56	1.59			5
Plane	8340	6.85	1.69	5.80	2.36	5.77	2.23			6
Wingwalker	8341	6.25	1.86	6.40	2.27			4.66	2.31	13
TennisPlayer	8350	7.18	1.56	5.18	2.28	5.78	1.76			5
Rafting	8370	7.77	1.29	6.73	2.24	5.37	2.02			5
Athletes	8380	7.56	1.55	5.74	2.32	5.8	2.02			6
Rafters	8400	7.09	1.52	6.61	1.86	4.63	2.14			6
Tubing	8420	7.76	1.55	5.56	2.38	6.05	2.19			6
Runner	8460	6.40	1.58	4.55	2.57	5.76	1.7			5
HappyTeens	8461	7.22	1.53	4.69	2.20	6.36	1.67			10
Runner	8465	5.96	1.49	3.93	2.34	5.97	1.63			10
Gymnast	8470	7.74	1.53	6.14	2.19	6.17	2.09			6
Biking/train	8475	4.85	1.85	6.52	1.91			4.55	2.19	14
BikerOnFire	8480	3.70	2.03	6.28	2.10	4	2.19			4
Fire	8485	2.73	1.62	6.46	2.10			3.25	2.2	14
RollerCoaster	8490	7.20	2.35	6.68	1.97	5.37	2.46			4
WaterSlide	8496	7.58	1.63	5.79	2.26	6.33	2.18			9
CarnivalRide	8497	7.26	1.44	4.19	2.18	6.22	1.87			10
Gold	8500	6.96	1.64	5.60	2.40	5.87	2.14			3
Money	8501	7.91	1.66	6.44	2.29	6.05	2.52			6
Money	8502	7.51	1.72	5.78	2.49	6.4	2.54			9
Money	8503	7.02	1.71	5.22	2.59	6.33	2.2			10
SportCar	8510	7.32	1.72	4.93	2.56	6.54	2.26			4
SportCar	8531	7.03	1.50	5.41	2.15	6.77	1.69			8
Athletes	8540	7.48	1.51	5.16	2.37	5.88	1.91			5
Mascot	8600	6.38	1.61	4.26	2.24	5.54	1.93			6
Woman	8620	6.04	1.43	4.60	2.08			5.83	1.84	14
Cemetery	9000	2.55	1.55	4.06	2.25	3.25	2.13			2
Cemetery	9001	3.10	2.02	3.67	2.30	3.47	1.9			5
HIVTattoo	9005	3.69	2.23	5.18	2.11	4.3	2.31			8
HIVTattoo	9006	2.34	1.59	5.76	2.46	3.33	2.42	3.08	2.22	7
Needles	9007	2.49	1.41	5.03	2.32	4.18	2.27			8
Needle	9008	3.47	1.85	4.45	2.10	5.3	2.21	4.75	1.86	7
BarbedWire	9010	3.94	1.70	4.14	2.05	4.06	1.96			2
StarvingChild	9040	1.67	1.07	5.82	2.15	3.1	2			2
ScaredChild	9041	2.98	1.58	4.64	2.26	4.38	2.34			9
StickThruLip	9042	3.15	1.89	5.78	2.48	4.37	2.16			10
NativeFem	9045	3.75	1.67	3.89	2.16	5.03	2.18			9
Family	9046	3.32	1.49	4.31	1.99	4.61	2.05			12
PlaneCrash	9050	2.43	1.61	6.36	1.97	3.27	2.06			2
Boy	9070	5.01	1.89	3.63	2.03	5.67	1.98			2
Wires	9080	4.07	1.45	4.36	2.17	4.05	1.98			2
Exhaust	9090	3.56	1.50	3.97	2.12	4.51	1.91			2
Exhaust	9090	3.69	1.92	4.80	2.23	4.72	2.14			3
Cocaine	9101	3.62	1.96	4.02	2.33	5.35	2.47			9
Heroin	9102	3.34	1.76	4.84	2.50	4.64	2.42			9
Puddle	9110	3.76	1.41	3.98	2.23	4.88	1.68			2
OilFires	9120	3.20	1.75	5.77	1.94	3.79	2.01			6
Cow	9140	2.19	1.37	5.38	2.19	3.85	1.95			2
Plane	9156	6.43	1.59	5.79	2.30	6.04	2.05			11
Soldier	9160	3.23	1.64	5.87	1.93	3.8	2.08			2
Fisher	9171	4.01	1.94	4.72	2.17			5.17	2.23	13
Seal	9180	2.99	1.61	5.02	2.09	4.52	2.09			2
DeadCows	9181	2.26	1.85	5.39	2.41	4.04	2.27			8
Horses	9182	3.52	2.04	4.98	2.07	4.97	2.32	4.45	1.8	7
Woman	9190	3.90	1.44	3.91	1.73	4.89	1.81			2
Rain	9210	4.53	1.82	3.08	2.13	4.55	1.9			5
Cemetery	9220	2.06	1.54	4.00	2.09	3.13	1.97			6
OilFire	9230	3.89	1.58	5.77	2.36	3.73	1.88			5
WarVictim	9250	2.57	1.39	6.60	1.87	3.73	1.94			3
DeadBody	9252	1.98	1.59	6.64	2.33	2.92	2.28	2.77	1.82	7
Mutilation	9253	2.00	1.19	5.53	2.40	3.77	2.17			9
HungMan	9265	2.60	1.52	4.34	2.09	4.6	2.37			9
ToxicWaste	9270	3.72	1.51	5.24	2.15	4.04	2.05			3
Smoke	9280	2.80	1.54	4.26	2.44	4.1	2.54			9
Garbage	9290	2.88	1.52	4.40	2.11	4.9	2.18			4
Dirty	9300	2.26	1.76	6.00	2.41	4.12	2.57			4
Toilet	9301	2.26	1.56	5.28	2.46			4.11	2.32	14
Vomit	9320	2.65	1.92	4.93	2.70	4.44	2.09			5
Garbage	9330	2.89	1.74	4.35	2.07	4.33	1.93			5
HomelessMan	9331	2.87	1.28	3.85	2.00	4.72	2.15			10
Garbage	9340	2.41	1.48	5.16	2.35	4.24	2.17			6
Pollution	9341	3.38	1.89	4.50	2.10			4.39	2.06	13
Pollution	9342	2.85	1.41	4.49	1.88			4.22	2.16	14
EmptyPool	9360	4.03	1.38	2.63	1.75	5.34	2.08			10
Garbage	9373	3.38	1.48	5.01	2.16	4.86	2.22	4.73	1.84	7
Dishes	9390	3.67	1.58	4.14	2.52	5.22	1.97			5
Soldier	9400	2.50	1.61	5.99	2.15	3.78	2.15			4
Knives	9401	4.53	1.31	3.88	1.98	5.29	1.88			8
Mob	9402	4.48	2.12	5.07	2.15	4.85	2.12			8
Soldiers	9404	3.71	1.67	4.67	2.26	4.48	2.19			8
SlicedHand	9405	1.83	1.17	6.08	2.40	3.4	2.33			10
MenW/guns	9409	3.34	1.76	5.61	2.15			4.07	2.33	14
Soldier	9410	1.51	1.15	7.07	2.06	2.81	1.99			4
Boy	9411	4.63	1.58	5.37	1.97	4.91	2.05	4.92	2.08	7
Handicapped	9415	2.82	2.00	4.91	2.35	4.22	2.24			8
Ticket	9417	3.16	1.48	4.83	2.24	3.7	2.42			10
Soldier	9420	2.31	1.59	5.69	2.28	3.27	2.19			4
Soldier	9421	2.21	1.45	5.04	2.15	3.32	2.09			6
Burial	9430	2.63	1.59	5.26	2.55	4.14	2.44			4
Mastectomy	9432	2.56	1.66	4.92	2.28	3.83	2.13	3.24	1.72	7
DeadMan	9433	1.84	1.19	5.89	2.60	3.37	2.16			10
Accident	9435	2.27	1.47	5.00	2.03			3.64	2.15	13
Skulls	9440	3.67	1.86	4.55	2.02	4.69	2.27			4
Gun	9452	3.19	1.98	5.14	2.30	4.09	2.34	3.18	2.07	7
Ruins	9470	3.05	1.51	5.05	1.98	4.11	2.06	3.57	1.8	7
BurntBldg	9471	3.16	1.35	4.48	2.02			4.22	2.13	14
Bridge	9472	4.07	1.34	4.16	2.00			4.79	2.09	14
Skull	9480	3.51	2.08	5.57	1.87	4.56	2.12			12
Corpse	9490	3.60	1.72	5.57	2.13	4.12	1.78			5
Fire	9495	3.34	1.75	5.57	2.00			4.16	2.29	14
Porpoises	9500	2.42	1.73	5.82	2.29	3.42	2.31			4
Kids	9520	2.46	1.61	5.41	2.27	4.01	2.06			6
Boys	9530	2.93	1.84	5.20	2.26	4.32	2.14			5
DuckInOil	9560	2.12	1.93	5.50	2.52	3.62	2.33			5
SickKitty	9561	2.68	1.92	4.79	2.29	4.53	2.36			10
Dog	9570	1.68	1.23	6.14	2.31	3.37	2.23			6
Cat	9571	1.96	1.50	5.64	2.50	4.17	2.46	3.44	2.03	7
DentalExam	9582	4.18	2.28	5.29	2.21	4.33	2.29			12
DentalExam	9584	3.34	1.57	4.96	2.15	3.94	2.41			11
